nohup: ignoring input
[Ideal_FP32 | Seed 0] Epoch 1/30 - Acc: 0.7602
[Ideal_FP32 | Seed 0] Epoch 2/30 - Acc: 0.8762
[Ideal_FP32 | Seed 0] Epoch 3/30 - Acc: 0.9061
[Ideal_FP32 | Seed 0] Epoch 4/30 - Acc: 0.9149
[Ideal_FP32 | Seed 0] Epoch 5/30 - Acc: 0.9240
[Ideal_FP32 | Seed 0] Epoch 6/30 - Acc: 0.9255
[Ideal_FP32 | Seed 0] Epoch 7/30 - Acc: 0.9306
[Ideal_FP32 | Seed 0] Epoch 8/30 - Acc: 0.9363
[Ideal_FP32 | Seed 0] Epoch 9/30 - Acc: 0.9379
[Ideal_FP32 | Seed 0] Epoch 10/30 - Acc: 0.9423
[Ideal_FP32 | Seed 0] Epoch 11/30 - Acc: 0.9408
[Ideal_FP32 | Seed 0] Epoch 12/30 - Acc: 0.9445
[Ideal_FP32 | Seed 0] Epoch 13/30 - Acc: 0.9463
[Ideal_FP32 | Seed 0] Epoch 14/30 - Acc: 0.9461
[Ideal_FP32 | Seed 0] Epoch 15/30 - Acc: 0.9499
[Ideal_FP32 | Seed 0] Epoch 16/30 - Acc: 0.9488
[Ideal_FP32 | Seed 0] Epoch 17/30 - Acc: 0.9513
[Ideal_FP32 | Seed 0] Epoch 18/30 - Acc: 0.9537
[Ideal_FP32 | Seed 0] Epoch 19/30 - Acc: 0.9522
[Ideal_FP32 | Seed 0] Epoch 20/30 - Acc: 0.9550
[Ideal_FP32 | Seed 0] Epoch 21/30 - Acc: 0.9534
[Ideal_FP32 | Seed 0] Epoch 22/30 - Acc: 0.9547
[Ideal_FP32 | Seed 0] Epoch 23/30 - Acc: 0.9563
[Ideal_FP32 | Seed 0] Epoch 24/30 - Acc: 0.9551
[Ideal_FP32 | Seed 0] Epoch 25/30 - Acc: 0.9574
[Ideal_FP32 | Seed 0] Epoch 26/30 - Acc: 0.9562
[Ideal_FP32 | Seed 0] Epoch 27/30 - Acc: 0.9569
[Ideal_FP32 | Seed 0] Epoch 28/30 - Acc: 0.9590
[Ideal_FP32 | Seed 0] Epoch 29/30 - Acc: 0.9590
[Ideal_FP32 | Seed 0] Epoch 30/30 - Acc: 0.9599
[Ideal_FP32 | Seed 1] Epoch 1/30 - Acc: 0.8193
[Ideal_FP32 | Seed 1] Epoch 2/30 - Acc: 0.8805
[Ideal_FP32 | Seed 1] Epoch 3/30 - Acc: 0.9038
[Ideal_FP32 | Seed 1] Epoch 4/30 - Acc: 0.9156
[Ideal_FP32 | Seed 1] Epoch 5/30 - Acc: 0.9252
[Ideal_FP32 | Seed 1] Epoch 6/30 - Acc: 0.9289
[Ideal_FP32 | Seed 1] Epoch 7/30 - Acc: 0.9314
[Ideal_FP32 | Seed 1] Epoch 8/30 - Acc: 0.9362
[Ideal_FP32 | Seed 1] Epoch 9/30 - Acc: 0.9404
[Ideal_FP32 | Seed 1] Epoch 10/30 - Acc: 0.9409
[Ideal_FP32 | Seed 1] Epoch 11/30 - Acc: 0.9439
[Ideal_FP32 | Seed 1] Epoch 12/30 - Acc: 0.9447
[Ideal_FP32 | Seed 1] Epoch 13/30 - Acc: 0.9449
[Ideal_FP32 | Seed 1] Epoch 14/30 - Acc: 0.9471
[Ideal_FP32 | Seed 1] Epoch 15/30 - Acc: 0.9489
[Ideal_FP32 | Seed 1] Epoch 16/30 - Acc: 0.9494
[Ideal_FP32 | Seed 1] Epoch 17/30 - Acc: 0.9514
[Ideal_FP32 | Seed 1] Epoch 18/30 - Acc: 0.9513
[Ideal_FP32 | Seed 1] Epoch 19/30 - Acc: 0.9534
[Ideal_FP32 | Seed 1] Epoch 20/30 - Acc: 0.9519
[Ideal_FP32 | Seed 1] Epoch 21/30 - Acc: 0.9543
[Ideal_FP32 | Seed 1] Epoch 22/30 - Acc: 0.9555
[Ideal_FP32 | Seed 1] Epoch 23/30 - Acc: 0.9557
[Ideal_FP32 | Seed 1] Epoch 24/30 - Acc: 0.9567
[Ideal_FP32 | Seed 1] Epoch 25/30 - Acc: 0.9557
[Ideal_FP32 | Seed 1] Epoch 26/30 - Acc: 0.9560
[Ideal_FP32 | Seed 1] Epoch 27/30 - Acc: 0.9581
[Ideal_FP32 | Seed 1] Epoch 28/30 - Acc: 0.9589
[Ideal_FP32 | Seed 1] Epoch 29/30 - Acc: 0.9607
[Ideal_FP32 | Seed 1] Epoch 30/30 - Acc: 0.9600
